City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
501,Dwarka,IN,85.05,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
503,Kahului,US,80.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
505,Mackay,AU,78.04,clear sky,-21.15,149.2,International Lodge Motel
506,Vidisha,IN,74.53,scattered clouds,23.5333,77.8167,STARiHOTELS Railway station Vidisha
508,Maba,CN,80.73,overcast clouds,24.6841,113.5984,Huayi Traders Hotel
509,Urumqi,CN,72.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
512,Narayanpet,IN,81.34,overcast clouds,16.7333,77.5,SRI VENKATA SAI HARDWERE AND CEMENT
513,Turayf,SA,71.85,clear sky,31.6725,38.6637,Swiss Spirit Hotel & Suites Turaif
515,Zhuhai,CN,89.71,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
516,Pontes E Lacerda,BR,71.29,scattered clouds,-15.2261,-59.3353,Hotel Bressan
519,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
521,Manta,EC,74.98,broken clouds,-0.95,-80.7333,Balandra Hotel
523,Black River,JM,80.6,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
524,Mount Isa,AU,80.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
526,Sambava,MG,71.73,few clouds,-14.2667,50.1667,Melrose
527,Buldana,IN,78.57,scattered clouds,20.5333,76.1833,Saikrupa Lawns
528,Mersing,MY,76.91,moderate rain,2.4312,103.8405,Timotel Hotel
529,Tadine,NC,77.16,broken clouds,-21.55,167.8833,
531,Saint-Paul,RE,71.71,few clouds,-21.0096,55.2707,Boucan Canot
532,Wukari,NG,78.37,overcast clouds,7.85,9.7833,Elimtop
535,Labuhan,ID,83.37,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
544,Tongliao,CN,86.85,overcast clouds,43.6125,122.2653,Meirujia Hotel
546,San Lorenzo,PY,72.54,clear sky,-25.3333,-57.5333,Hotel del Sur
547,Fomboni,KM,80.31,light rain,-12.28,43.7425,Pension Paradis
552,Baoqing,CN,81.18,scattered clouds,46.3317,132.2111,Baoqing Hotel
553,Nhulunbuy,AU,84.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
554,Kumba,CM,71.2,overcast clouds,4.6363,9.4469,El Bethel Hotel
555,Fukue,JP,71.96,very heavy rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
556,Jawa,JO,70.11,clear sky,31.8525,35.9393,دار الحاج عبدالله ابو صعيليك واولاده
558,Gamba,GA,77.59,light rain,-2.65,10.0,
559,Namatanai,PG,86.18,broken clouds,-3.6667,152.4333,Namatanai Hotel
564,La Asuncion,VE,80.33,clear sky,11.0333,-63.8628,Colinas de Matasiete
565,Caraballeda,VE,78.87,few clouds,10.6112,-66.8522,Hotel 15 Letras
566,Tiznit,MA,78.91,overcast clouds,29.5833,-9.5,
567,Xihua,CN,74.91,clear sky,33.7833,114.5167,Home Inn
568,La Orilla,MX,77.7,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
571,Iberia,US,76.98,overcast clouds,29.9502,-91.7507,back to back rv park
572,Auki,SB,87.03,overcast clouds,-8.7676,160.7034,Auki Motel
573,Pingzhuang,CN,77.58,overcast clouds,42.0372,119.2889,Haoke Guest House
574,Nabire,ID,78.15,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
575,Nago,JP,84.45,few clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
583,Santa Cruz,BO,77.38,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
584,Wangqing,CN,78.51,broken clouds,43.3218,129.7634,Jianan Fashion Hotel
585,Galle,LK,82.11,overcast clouds,6.0367,80.217,Amangalla
586,Coralville,US,72.43,moderate rain,41.6764,-91.5805,Heartland Inn
587,Shache,CN,73.04,overcast clouds,38.4167,77.2406,Delong Hotel
589,Kokopo,PG,86.31,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
590,Dabhol,IN,78.85,scattered clouds,17.6,73.1667,Ashwamedh Resort
594,Kibala,TD,87.75,clear sky,9.1104,18.3463,hotel safari
601,Ambarnath,IN,80.2,broken clouds,19.2,73.1667,m.f.c group
603,Taikang,CN,72.1,clear sky,46.8333,124.4167,Jia Hotel
605,Brigham City,US,79.84,clear sky,41.5102,-112.0155,Best Western Brigham City Inn & Suites
607,Norman,US,71.6,clear sky,35.2226,-97.4395,Montford Inn
608,Russellville,US,71.33,overcast clouds,35.2784,-93.1338,Hampton Inn Russellville
612,Thinadhoo,MV,84.45,clear sky,0.5333,72.9333,
614,Bambanglipuro,ID,82.85,scattered clouds,-7.95,110.2833,Puri Brata
616,Parral,MX,72.7,clear sky,26.9333,-105.6667,HOTEL LOS ARCOS PARRAL
621,Miracema Do Tocantins,BR,74.71,clear sky,-9.5618,-48.3967,Miami Apart Hotel
622,Nha Trang,VN,89.6,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
626,Wilmington,US,70.86,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
627,Fuyu,CN,82.76,clear sky,45.1833,124.8167,Education Hostel
628,La Reforma,MX,83.75,clear sky,25.0833,-108.05,Arremar Angostura
629,Huntington,US,71.46,broken clouds,38.4193,-82.4452,Ramada Limited Huntington
632,Zahirabad,IN,80.44,few clouds,17.6833,77.6167,PREETHAM WORKING WOMENS HOSTEL
633,Montevista,PH,84.29,broken clouds,7.6933,125.9889,W.inn
634,Kavieng,PG,85.68,few clouds,-2.5744,150.7967,Nusa Island Retreat
637,Mogadishu,SO,78.4,overcast clouds,2.0371,45.3438,Hotel Juba
638,Florida,US,77.77,clear sky,28.7505,-82.5001,Sportsmens Cove
639,Tezpur,IN,79.45,overcast clouds,26.6333,92.8,Hotel Kanyapur
643,Puerto Palomas,MX,80.62,broken clouds,31.7667,-107.6167,Hotel San Carlos
645,Boma,GH,72.75,broken clouds,7.0805,-2.1697,Obaatanpa Hotel
646,Inongo,CD,71.04,scattered clouds,-1.95,18.2667,Hotel Du Lac
647,Sulangan,PH,83.32,overcast clouds,11.1373,123.7228,Maia's Beach Resort
648,Tanabi,BR,70.02,few clouds,-20.6264,-49.6492,Point Hotel em Tanabi - SP
651,Sumenep,ID,84.56,scattered clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
654,Cairns,AU,78.06,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
656,Road Town,VG,82.44,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
657,Tiarei,PF,84.22,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
662,Goderich,CA,75.52,overcast clouds,43.7501,-81.7165,Harmony Inn
663,Itarema,BR,76.93,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
664,Santarem,BR,75.33,clear sky,-2.4431,-54.7083,Ecotur Lodge
666,Lakatoro,VU,77.58,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
668,Esmeralda,CU,76.06,overcast clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
669,Gogrial,SS,77.77,overcast clouds,8.5332,28.1004,
672,Charters Towers,AU,76.69,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
673,Saveh,IR,76.46,clear sky,35.0213,50.3566,مجید کریمی
674,Hirara,JP,86.27,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
676,Malvern,US,71.74,light rain,34.3623,-92.81299999999999,Americas Best Value Inn Malvern
