City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Saskylakh,RU,2021-05-15 19:31:21,71.9167,114.0833,8.22,95,100,7.76
137,Alofi,NU,2021-05-15 19:31:22,-19.0595,-169.9187,75.2,100,4,4.61
138,Palembang,ID,2021-05-15 19:31:22,-2.9167,104.7458,74.89,96,45,3.67
139,Caraballeda,VE,2021-05-15 19:31:22,10.6112,-66.8522,84.2,70,100,13.8
140,Evansville,US,2021-05-15 19:28:10,37.9748,-87.5558,72.0,30,20,5.75
141,Akdepe,TM,2021-05-15 19:31:23,42.0551,59.3788,71.6,23,0,11.5
142,Sept-Iles,CA,2021-05-15 19:29:02,50.2001,-66.3821,50.0,57,90,5.75
143,Marsa Matruh,EG,2021-05-15 19:31:23,31.3525,27.2453,71.6,73,0,23.02
144,Luderitz,NA,2021-05-15 19:31:23,-26.6481,15.1594,62.56,90,14,3.49
145,Broome,US,2021-05-15 19:31:23,42.2506,-75.833,71.01,26,40,8.05
146,Chuy,UY,2021-05-15 19:31:24,-33.6971,-53.4616,59.22,64,100,4.25
147,Boa Vista,BR,2021-05-15 19:31:24,2.8197,-60.6733,78.8,83,75,10.36
148,Sagay,PH,2021-05-15 19:31:24,10.9447,123.4242,81.03,81,86,5.91
149,Mahanoro,MG,2021-05-15 19:31:24,-19.9,48.8,71.82,86,42,1.25
150,Clyde River,CA,2021-05-15 19:31:25,70.4692,-68.5914,23.0,63,1,18.41
151,Mahebourg,MU,2021-05-15 19:31:25,-20.4081,57.7,77.0,78,40,12.66
152,Tuktoyaktuk,CA,2021-05-15 19:31:25,69.4541,-133.0374,35.6,80,90,11.5
153,Lebanon,US,2021-05-15 19:31:25,36.2081,-86.2911,78.01,29,1,4.61
154,Homer,US,2021-05-15 19:31:26,59.6425,-151.5483,44.6,81,90,8.05
155,Kysyl-Syr,RU,2021-05-15 19:31:26,63.8986,122.7617,47.95,53,100,7.78
156,Teya,RU,2021-05-15 19:31:26,60.3778,92.6267,26.62,90,21,2.53
157,Vila Franca Do Campo,PT,2021-05-15 19:27:48,37.7167,-25.4333,64.4,94,75,9.22
158,Mount Barker,AU,2021-05-15 19:31:26,-35.0667,138.8667,53.01,80,100,3.98
159,Lapeer,US,2021-05-15 19:31:27,43.0514,-83.3188,71.6,20,40,9.22
160,Sabadell,ES,2021-05-15 19:31:27,41.5433,2.1094,75.2,38,20,4.61
161,Ajdabiya,LY,2021-05-15 19:31:27,30.7554,20.2263,69.35,66,0,14.97
162,Belmonte,BR,2021-05-15 19:31:27,-15.8631,-38.8828,78.8,57,0,6.91
163,Pokhara,NP,2021-05-15 19:31:27,28.2333,83.9833,68.47,58,97,7.94
164,Canete,CL,2021-05-15 19:31:28,-37.8,-73.4,58.69,64,0,6.29
165,Kenai,US,2021-05-15 19:29:30,60.5544,-151.2583,46.4,76,40,6.91
166,Albany,US,2021-05-15 19:31:28,42.6001,-73.9662,75.0,26,89,3.0
167,Dickinson,US,2021-05-15 19:31:18,29.4608,-95.0513,82.99,57,40,17.27
168,Khromtau,KZ,2021-05-15 19:31:28,50.2503,58.4347,70.29,36,67,5.73
169,Abu Kamal,SY,2021-05-15 19:31:29,34.4506,40.9171,88.05,14,0,7.11
170,Udomlya,RU,2021-05-15 19:31:29,57.8794,34.9925,53.35,96,18,5.61
171,Colares,PT,2021-05-15 19:31:29,38.7992,-9.4469,66.99,82,20,8.05
172,Sao Joao Da Barra,BR,2021-05-15 19:31:29,-21.6403,-41.0511,77.0,61,0,11.5
173,Grand Gaube,MU,2021-05-15 19:31:29,-20.0064,57.6608,73.99,76,32,7.0
174,Los Llanos De Aridane,ES,2021-05-15 19:31:30,28.6585,-17.9182,69.8,78,20,20.71
175,Kaitangata,NZ,2021-05-15 19:31:30,-46.2817,169.8464,45.0,80,89,1.99
176,Jumla,NP,2021-05-15 19:31:30,29.2747,82.1838,50.54,72,8,3.49
177,Boddam,GB,2021-05-15 19:31:31,57.4667,-1.7833,48.99,81,100,10.36
178,Torbay,CA,2021-05-15 19:31:31,47.6666,-52.7314,48.0,81,75,9.22
179,Nome,US,2021-05-15 19:31:31,64.5011,-165.4064,53.6,37,1,11.5
180,San Luis,AR,2021-05-15 19:31:26,-33.295,-66.3356,67.55,37,100,0.81
181,New Norfolk,AU,2021-05-15 19:31:32,-42.7826,147.0587,46.0,87,100,1.01
182,Vardo,NO,2021-05-15 19:31:32,70.3705,31.1107,34.7,82,100,17.81
183,Nantucket,US,2021-05-15 19:26:49,41.2835,-70.0995,64.4,52,1,11.5
184,La Trinidad,PH,2021-05-15 19:31:32,16.455,120.5875,64.08,83,23,3.67
185,Shenkursk,RU,2021-05-15 19:31:33,62.1091,42.896,60.66,86,100,7.49
186,Bredasdorp,ZA,2021-05-15 19:31:33,-34.5322,20.0403,57.2,94,100,1.14
187,Sofia,BG,2021-05-15 19:29:02,42.6975,23.3242,54.0,87,90,3.44
188,Vanimo,PG,2021-05-15 19:31:33,-2.6741,141.3028,78.51,88,100,3.91
189,Faya,SA,2021-05-15 19:31:34,18.3851,42.4509,71.6,43,0,5.75
190,Hasaki,JP,2021-05-15 19:31:34,35.7333,140.8333,62.6,88,75,6.91
191,Nizwa,OM,2021-05-15 19:31:34,22.9333,57.5333,87.13,24,5,8.19
