City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Kampot,KH,10.6167,104.1833,84.25,73,100,3.87,overcast clouds
313,Sobolevo,RU,54.4299,31.8996,54.45,95,100,10.11,overcast clouds
314,Provideniya,RU,64.3833,-173.3,33.91,75,0,11.18,clear sky
315,Fortuna,US,40.5982,-124.1573,57.47,66,75,10.0,broken clouds
316,Vestmannaeyjar,IS,63.4427,-20.2734,39.54,82,100,3.96,overcast clouds
317,Talara,PE,-4.5772,-81.2719,69.15,89,60,11.54,broken clouds
318,Souillac,MU,-20.5167,57.5167,71.37,75,99,24.0,light rain
319,Lorengau,PG,-2.0226,147.2712,85.84,69,12,5.93,few clouds
320,Hasaki,JP,35.7333,140.8333,71.89,79,100,9.04,light rain
321,San Andres,CO,12.5847,-81.7006,81.79,80,79,12.1,broken clouds
322,Vila Velha,BR,-20.3297,-40.2925,69.94,94,40,1.01,scattered clouds
323,Hobyo,SO,5.3505,48.5268,79.25,81,71,23.69,broken clouds
324,Villa Union,MX,23.2,-106.2333,79.92,68,0,3.94,clear sky
325,Bay Roberts,CA,47.5999,-53.2648,43.03,80,31,1.01,scattered clouds
326,Ballina,AU,-28.8667,153.5667,69.76,68,8,8.05,clear sky
327,Yeppoon,AU,-23.1333,150.7333,76.78,56,1,16.46,clear sky
328,Riyadh,SA,24.6877,46.7219,91.45,12,0,3.44,clear sky
329,San Cristobal,VE,7.7669,-72.225,66.16,99,66,3.18,broken clouds
330,Kutum,SD,14.2,24.6667,74.46,30,0,4.29,clear sky
331,Vryheid,ZA,-27.7695,30.7917,54.0,36,100,4.65,overcast clouds
332,Weyburn,CA,49.6668,-103.8511,61.02,25,8,14.97,clear sky
333,Lima,PE,-12.0432,-77.0282,61.14,94,90,5.75,overcast clouds
334,Iqaluit,CA,63.7506,-68.5145,22.73,58,75,5.75,broken clouds
335,Taman,RU,45.2117,36.7161,55.72,80,8,12.93,clear sky
336,Hanover,DE,52.3705,9.7332,48.78,98,22,5.12,few clouds
337,Pisco,PE,-13.7,-76.2167,66.25,82,0,11.5,clear sky
338,Bermeo,ES,43.4209,-2.7215,51.49,82,100,6.04,overcast clouds
339,Rio Branco,BR,-9.9747,-67.81,74.01,69,0,3.38,clear sky
340,Te Anau,NZ,-45.4167,167.7167,55.65,71,44,6.24,scattered clouds
341,San Joaquin,US,37.9333,-121.3011,72.18,29,0,16.35,clear sky
342,Simbahan,PH,6.3032,120.5836,82.0,79,90,9.24,overcast clouds
343,Moerai,PF,-22.4333,-151.3333,76.26,62,0,12.28,clear sky
344,Krasnoselkup,RU,65.7,82.4667,25.75,61,15,9.04,few clouds
345,Oranjestad,AW,12.524,-70.027,82.35,78,20,24.16,few clouds
346,Shumikha,RU,55.2261,63.2961,57.94,58,63,4.25,broken clouds
347,Brae,GB,60.3964,-1.353,39.11,72,57,10.07,broken clouds
